cve_id,description,cpe_match,accessVector,baseScore,exploitabilityScore,obtainAllPrivilege,obtainUserPrivilege,obtainOtherPrivilege,privilegesRequired
CVE-2013-3591,vTiger CRM 5.3 and 5.4: 'files' Upload Folder Arbitrary PHP Code Execution Vulnerability,"['cpe:2.3:a:vtiger:vtiger_crm:5.3.0:-:*:*:*:*:*:*', 'cpe:2.3:a:vtiger:vtiger_crm:5.4.0:-:*:*:*:*:*:*']",NETWORK,6.5,8,False,False,False,Null
CVE-2021-44529,A code injection vulnerability in the Ivanti EPM Cloud Services Appliance (CSA) allows an unauthenticated user to execute arbitrary code with limited permissions (nobody).,"['cpe:2.3:a:ivanti:endpoint_manager_cloud_services_appliance:*:*:*:*:*:*:*:*', 'cpe:2.3:a:ivanti:endpoint_manager_cloud_services_appliance:4.6:-:*:*:*:*:*:*']",NETWORK,7.5,10,False,False,False,Null
CVE-2020-27387,"An unrestricted file upload issue in HorizontCMS through 1.0.0-beta allows an authenticated remote attacker (with access to the FileManager) to upload and execute arbitrary PHP code by uploading a PHP payload, and then using the FileManager's rename function to provide the payload (which will receive a random name on the server) with the PHP extension, and finally executing the PHP file via an HTTP GET request to /storage/<php_file_name>. NOTE: the vendor has patched this while leaving the version number at 1.0.0-beta.","['cpe:2.3:a:horizontcms_project:horizontcms:1.0.0:beta:*:*:*:*:*:*', 'cpe:2.3:a:horizontcms_project:horizontcms:1.0.0:alpha:*:*:*:*:*:*', 'cpe:2.3:a:horizontcms_project:horizontcms:1.0.0:alpha2:*:*:*:*:*:*', 'cpe:2.3:a:horizontcms_project:horizontcms:1.0.0:alpha3:*:*:*:*:*:*', 'cpe:2.3:a:horizontcms_project:horizontcms:1.0.0:alpha4:*:*:*:*:*:*', 'cpe:2.3:a:horizontcms_project:horizontcms:1.0.0:alpha5:*:*:*:*:*:*', 'cpe:2.3:a:horizontcms_project:horizontcms:1.0.0:alpha6:*:*:*:*:*:*', 'cpe:2.3:a:horizontcms_project:horizontcms:1.0.0:alpha7:*:*:*:*:*:*', 'cpe:2.3:a:horizontcms_project:horizontcms:1.0.0:alpha8:*:*:*:*:*:*']",NETWORK,6.5,8,False,False,False,Null
CVE-2020-7246,"A remote code execution (RCE) vulnerability exists in qdPM 9.1 and earlier. An attacker can upload a malicious PHP code file via the profile photo functionality, by leveraging a path traversal vulnerability in the users['photop_preview'] delete photo feature, allowing bypass of .htaccess protection. NOTE: this issue exists because of an incomplete fix for CVE-2015-3884.",['cpe:2.3:a:qdpm:qdpm:*:*:*:*:*:*:*:*'],NETWORK,6.5,8,False,False,False,Null
CVE-2013-1349,Eval injection vulnerability in ajax.php in openSIS 4.5 through 5.2 allows remote attackers to execute arbitrary PHP code via the modname parameter.,"['cpe:2.3:a:os4ed:opensis:4.5:*:*:*:*:*:*:*', 'cpe:2.3:a:os4ed:opensis:4.6:*:*:*:*:*:*:*', 'cpe:2.3:a:os4ed:opensis:4.7:*:*:*:*:*:*:*', 'cpe:2.3:a:os4ed:opensis:4.8:*:*:*:*:*:*:*', 'cpe:2.3:a:os4ed:opensis:4.8.1:*:*:*:*:*:*:*', 'cpe:2.3:a:os4ed:opensis:4.9:*:*:*:*:*:*:*', 'cpe:2.3:a:os4ed:opensis:5.0:*:*:*:*:*:*:*', 'cpe:2.3:a:os4ed:opensis:5.1:*:*:*:*:*:*:*', 'cpe:2.3:a:os4ed:opensis:5.2:*:*:*:*:*:*:*']",NETWORK,7.5,10,False,False,False,Null
CVE-2013-0803,"A PHP File Upload Vulnerability exists in PolarBear CMS 2.5 via upload.php, which could let a malicious user execute arbitrary code.",['cpe:2.3:a:polarbear_cms_project:polarbear_cms:2.5:*:*:*:*:*:*:*'],NETWORK,7.5,10,False,False,False,Null
CVE-2013-2068,"Multiple directory traversal vulnerabilities in the AgentController in Red Hat CloudForms Management Engine 2.0 allow remote attackers to create and overwrite arbitrary files via a .. (dot dot) in the filename parameter to the (1) log, (2) upload, or (3) linuxpkgs method.",['cpe:2.3:a:redhat:cloudforms_management_engine:5.1:*:*:*:*:*:*:*'],NETWORK,9.4,10,False,False,False,Null
CVE-2000-0284,Buffer overflow in University of Washington imapd version 4.7 allows users with a valid account to execute commands via LIST or other commands.,['cpe:2.3:a:university_of_washington:imap:12.264:*:*:*:*:*:*:*'],NETWORK,7.5,10,False,False,False,Null
CVE-2002-1643,"Multiple buffer overflows in RealNetworks Helix Universal Server 9.0 (9.0.2.768) allow remote attackers to execute arbitrary code via (1) a long Transport field in a SETUP RTSP request, (2) a DESCRIBE RTSP request with a long URL argument, or (3) two simultaneous HTTP GET requests with long arguments.","['cpe:2.3:a:realnetworks:helix_universal_server:9.0.2.768:*:*:*:*:*:*:*', 'cpe:2.3:a:realnetworks:helix_universal_server:9.0:*:*:*:*:*:*:*']",NETWORK,7.5,10,False,True,False,Null
CVE-2022-22954,VMware Workspace ONE Access and Identity Manager contain a remote code execution vulnerability due to server-side template injection. A malicious actor with network access can trigger a server-side template injection that may result in remote code execution.,"['cpe:2.3:a:vmware:vrealize_suite_lifecycle_manager:*:*:*:*:*:*:*:*', 'cpe:2.3:a:vmware:cloud_foundation:*:*:*:*:*:*:*:*']",NETWORK,10,10,False,False,False,Null
CVE-2021-21307,"Lucee Server is a dynamic, Java based (JSR-223), tag and scripting language used for rapid web application development. In Lucee Admin before versions 5.3.7.47, 5.3.6.68 or 5.3.5.96 there is an unauthenticated remote code exploit. This is fixed in versions 5.3.7.47, 5.3.6.68 or 5.3.5.96. As a workaround, one can block access to the Lucee Administrator.","['cpe:2.3:a:lucee:lucee_server:*:*:*:*:*:*:*:*', 'cpe:2.3:a:lucee:lucee_server:*:*:*:*:*:*:*:*', 'cpe:2.3:a:lucee:lucee_server:*:*:*:*:*:*:*:*']",NETWORK,7.5,10,False,False,False,Null
CVE-2021-21425,"Grav Admin Plugin is an HTML user interface that provides a way to configure Grav and create and modify pages. In versions 1.10.7 and earlier, an unauthenticated user can execute some methods of administrator controller without needing any credentials. Particular method execution will result in arbitrary YAML file creation or content change of existing YAML files on the system. Successfully exploitation of that vulnerability results in configuration changes, such as general site information change, custom scheduler job definition, etc. Due to the nature of the vulnerability, an adversary can change some part of the webpage, or hijack an administrator account, or execute operating system command under the context of the web-server user. This vulnerability is fixed in version 1.10.8. Blocking access to the `/admin` path from untrusted sources can be applied as a workaround.",['cpe:2.3:a:getgrav:grav-plugin-admin:*:*:*:*:*:*:*:*'],NETWORK,7.5,10,False,False,False,Null
CVE-2018-15133,"In Laravel Framework through 5.5.40 and 5.6.x through 5.6.29, remote code execution might occur as a result of an unserialize call on a potentially untrusted X-XSRF-TOKEN value. This involves the decrypt method in Illuminate/Encryption/Encrypter.php and PendingBroadcast in gadgetchains/Laravel/RCE/3/chain.php in phpggc. The attacker must know the application key, which normally would never occur, but could happen if the attacker previously had privileged access or successfully accomplished a previous attack.","['cpe:2.3:a:laravel:laravel:*:*:*:*:*:*:*:*', 'cpe:2.3:a:laravel:laravel:*:*:*:*:*:*:*:*']",NETWORK,6.8,8.6,False,False,False,Null
CVE-2003-0990,"The parseAddress code in (1) SquirrelMail 1.4.0 and (2) GPG Plugin 1.1 allows remote attackers to execute commands via shell metacharacters in the ""To:"" field.","['cpe:2.3:a:squirrelmail:squirrelmail:1.4.0:*:*:*:*:*:*:*', 'cpe:2.3:a:squirrelmail:gpg_plugin:1.1:*:*:*:*:*:*:*']",NETWORK,7.5,10,False,True,False,Null
CVE-2004-1388,"Format string vulnerability in the gpsd_report function for BerliOS GPD daemon (gpsd, formerly pygps) 1.9.0 through 2.7 allows remote attackers to execute arbitrary code via certain GPS requests containing format string specifiers that are not properly handled in syslog calls.","['cpe:2.3:a:berlios:gps_daemon:1.96:*:*:*:*:*:*:*', 'cpe:2.3:a:berlios:gps_daemon:2.7:*:*:*:*:*:*:*', 'cpe:2.3:a:berlios:gps_daemon:1.98:*:*:*:*:*:*:*', 'cpe:2.3:a:berlios:gps_daemon:1.97:*:*:*:*:*:*:*', 'cpe:2.3:a:berlios:gps_daemon:2.2:*:*:*:*:*:*:*', 'cpe:2.3:a:berlios:gps_daemon:1.93:*:*:*:*:*:*:*', 'cpe:2.3:a:berlios:gps_daemon:2.3:*:*:*:*:*:*:*', 'cpe:2.3:a:berlios:gps_daemon:1.26:*:*:*:*:*:*:*', 'cpe:2.3:a:berlios:gps_daemon:1.25:*:*:*:*:*:*:*', 'cpe:2.3:a:berlios:gps_daemon:1.91:*:*:*:*:*:*:*', 'cpe:2.3:a:berlios:gps_daemon:1.92:*:*:*:*:*:*:*', 'cpe:2.3:a:berlios:gps_daemon:2.1:*:*:*:*:*:*:*', 'cpe:2.3:a:berlios:gps_daemon:1.95:*:*:*:*:*:*:*', 'cpe:2.3:a:berlios:gps_daemon:1.9.0:*:*:*:*:*:*:*', 'cpe:2.3:a:berlios:gps_daemon:2.4:*:*:*:*:*:*:*', 'cpe:2.3:a:berlios:gps_daemon:1.94:*:*:*:*:*:*:*', 'cpe:2.3:a:berlios:gps_daemon:2.0:*:*:*:*:*:*:*']",NETWORK,7.5,10,False,True,False,Null
CVE-2004-2221,Buffer overflow in SoftCart.exe in Mercantec SoftCart 4.00b allows remote attackers to execute arbitrary code via a long parameter in an HTTP GET request.,['cpe:2.3:a:mercantec:softcart:4.00b:*:*:*:*:*:*:*'],NETWORK,7.5,10,False,True,False,Null
CVE-2005-0511,"misc.php for vBulletin 3.0.6 and earlier, when ""Add Template Name in HTML Comments"" is enabled, allows remote attackers to execute arbitrary PHP code via nested variables in the template parameter.","['cpe:2.3:a:jelsoft:vbulletin:2.2.0:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:3.0.4:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:3.0.0_rc4:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:2.3.0:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:3.0.1:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:2.2.9_can:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:3.0.0_beta_2:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:2.2.1:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:2.2.2:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:2.0_beta_2:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:2.2.7:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:3.0.0_can4:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:3.0_beta_2:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:2.0:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:2.2.4:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:2.0.1:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:2.0.2:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:3.0.6:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:2.0_beta_3:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:2.2.5:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:3.0.0:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:3.0.2:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:2.2.8:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:2.2.3:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:2.3.3:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:2.3.4:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:3.0.3:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:2.2.6:*:*:*:*:*:*:*', 'cpe:2.3:a:jelsoft:vbulletin:3.0.5:*:*:*:*:*:*:*']",NETWORK,7.5,10,False,False,True,Null
CVE-2005-2612,Direct code injection vulnerability in WordPress 1.5.1.3 and earlier allows remote attackers to execute arbitrary PHP code via the cache_lastpostdate[server] cookie.,"['cpe:2.3:a:wordpress:wordpress:1.0.1:*:*:*:*:*:*:*', 'cpe:2.3:a:wordpress:wordpress:1.0.2:*:*:*:*:*:*:*', 'cpe:2.3:a:wordpress:wordpress:1.5.1.2:*:*:*:*:*:*:*', 'cpe:2.3:a:wordpress:wordpress:1.2:*:*:*:*:*:*:*', 'cpe:2.3:a:wordpress:wordpress:1.0:*:*:*:*:*:*:*', 'cpe:2.3:a:wordpress:wordpress:1.5:*:*:*:*:*:*:*', 'cpe:2.3:a:wordpress:wordpress:1.5.1:*:*:*:*:*:*:*', 'cpe:2.3:a:wordpress:wordpress:1.5.1.3:*:*:*:*:*:*:*']",NETWORK,7.5,10,False,True,False,Null
CVE-2005-2847,img.pl in Barracuda Spam Firewall running firmware 3.1.16 and 3.1.17 allows remote attackers to execute arbitrary commands via shell metacharacters in the f parameter.,"['cpe:2.3:h:barracuda_networks:barracuda_spam_firewall:3.1.16:*:*:*:*:*:*:*', 'cpe:2.3:h:barracuda_networks:barracuda_spam_firewall:3.1.17:*:*:*:*:*:*:*']",NETWORK,7.5,10,False,True,False,Null
CVE-2004-1389,"Unknown vulnerability in the Veritas NetBackup Administrative Assistant interface for NetBackup BusinesServer 3.4, 3.4.1, and 4.5, DataCenter 3.4, 3.4.1, and 4.5, Enterprise Server 5.1, and NetBackup Server 5.0 and 5.1, allows attackers to execute arbitrary commands via the bpjava-susvc process, possibly related to the call-back feature.","['cpe:2.3:a:veritas:netbackup:3.4.1:*:businessserver:*:*:*:*:*', 'cpe:2.3:a:veritas:netbackup:3.4.0:*:businessserver:*:*:*:*:*', 'cpe:2.3:a:veritas:netbackup:3.4.0:*:datacenter:*:*:*:*:*', 'cpe:2.3:a:veritas:netbackup:5.0:*:server:*:*:*:*:*', 'cpe:2.3:a:veritas:netbackup:5.1:*:enterprise_server:*:*:*:*:*', 'cpe:2.3:a:veritas:netbackup:5.1:*:server:*:*:*:*:*', 'cpe:2.3:a:veritas:netbackup:3.4.1:*:datacenter:*:*:*:*:*', 'cpe:2.3:a:veritas:netbackup:4.5.0:*:datacenter:*:*:*:*:*', 'cpe:2.3:a:veritas:netbackup:4.5.0:*:businessserver:*:*:*:*:*']",LOCAL,6,1.5,True,False,False,Null
CVE-2006-1551,Eval injection vulnerability in pajax_call_dispatcher.php in PAJAX 0.5.1 and earlier allows remote attackers to execute arbitrary code via the (1) $method and (2) $args parameters.,"['cpe:2.3:a:georges_auberger:pajax:0.5.1:*:*:*:*:*:*:*', 'cpe:2.3:a:georges_auberger:pajax:0.5.0:*:*:*:*:*:*:*']",NETWORK,7.5,10,False,True,False,Null
CVE-2019-11231,"An issue was discovered in GetSimple CMS through 3.3.15. insufficient input sanitation in the theme-edit.php file allows upload of files with arbitrary content (PHP code, for example). This vulnerability is triggered by an authenticated user; however, authentication can be bypassed. According to the official documentation for installation step 10, an admin is required to upload all the files, including the .htaccess files, and run a health check. However, what is overlooked is that the Apache HTTP Server by default no longer enables the AllowOverride directive, leading to data/users/admin.xml password exposure. The passwords are hashed but this can be bypassed by starting with the data/other/authorization.xml API key. This allows one to target the session state, since they decided to roll their own implementation. The cookie_name is crafted information that can be leaked from the frontend (site name and version). If a someone leaks the API key and the admin username, then they can bypass authentication. To do so, they need to supply a cookie based on an SHA-1 computation of this known information. The vulnerability exists in the admin/theme-edit.php file. This file checks for forms submissions via POST requests, and for the csrf nonce. If the nonce sent is correct, then the file provided by the user is uploaded. There is a path traversal allowing write access outside the jailed themes directory root. Exploiting the traversal is not necessary because the .htaccess file is ignored. A contributing factor is that there isn't another check on the extension before saving the file, with the assumption that the parameter content is safe. This allows the creation of web accessible and executable files with arbitrary content.",['cpe:2.3:a:get-simple:getsimple_cms:*:*:*:*:*:*:*:*'],NETWORK,5,10,False,False,False,Null
CVE-2004-2687,"distcc 2.x, as used in XCode 1.5 and others, when not configured to restrict access to the server port, allows remote attackers to execute arbitrary commands via compilation jobs, which are executed by the server without authorization checks.","['cpe:2.3:a:samba:samba:*:*:*:*:*:*:*:*', 'cpe:2.3:a:apple:xcode:1.5:*:*:*:*:*:*:*']",NETWORK,9.3,8.6,True,False,False,Null
CVE-2013-4835,"The APISiteScopeImpl SOAP service in HP SiteScope 10.1x and 11.x before 11.22 allows remote attackers to bypass authentication and execute arbitrary code via a direct request to the issueSiebelCmd method, aka ZDI-CAN-1765.","['cpe:2.3:a:hp:sitescope:11.21:*:*:*:*:*:*:*', 'cpe:2.3:a:hp:sitescope:11.12:*:*:*:*:*:*:*', 'cpe:2.3:a:hp:sitescope:10.13:*:*:*:*:*:*:*', 'cpe:2.3:a:hp:sitescope:11.20:*:*:*:*:*:*:*', 'cpe:2.3:a:hp:sitescope:11.10:*:*:*:*:*:*:*', 'cpe:2.3:a:hp:sitescope:11.01:*:*:*:*:*:*:*', 'cpe:2.3:a:hp:sitescope:10.11:*:*:*:*:*:*:*', 'cpe:2.3:a:hp:sitescope:11.1:*:*:*:*:*:*:*', 'cpe:2.3:a:hp:sitescope:11.11:*:*:*:*:*:*:*']",NETWORK,7.5,10,False,False,False,Null
CVE-2007-0882,"Argument injection vulnerability in the telnet daemon (in.telnetd) in Solaris 10 and 11 (SunOS 5.10 and 5.11) misinterprets certain client ""-f"" sequences as valid requests for the login program to skip authentication, which allows remote attackers to log into certain accounts, as demonstrated by the bin account.","['cpe:2.3:o:oracle:solaris:11:*:*:*:*:*:*:*', 'cpe:2.3:o:sun:sunos:5.11:*:*:*:*:*:*:*', 'cpe:2.3:o:sun:sunos:5.10:*:*:*:*:*:*:*', 'cpe:2.3:o:oracle:solaris:10:*:*:*:*:*:*:*']",NETWORK,10,10,True,False,False,Null
CVE-2007-2175,"Apple QuickTime Java extensions (QTJava.dll), as used in Safari and other browsers, and when Java is enabled, allows remote attackers to execute arbitrary code via parameters to the toQTPointer method in quicktime.util.QTHandleRef, which can be used to modify arbitrary memory when creating QTPointerRef objects, as demonstrated during the ""PWN 2 0WN"" contest at CanSecWest 2007.",['cpe:2.3:a:apple:safari:*:*:*:*:*:*:*:*'],NETWORK,7.6,4.9,True,False,False,Null
CVE-2008-6825,Directory traversal vulnerability in user/index.php in Fonality trixbox CE 2.6.1 and earlier allows remote attackers to include and execute arbitrary files via a .. (dot dot) in the langChoice parameter.,"['cpe:2.3:a:trixbox:trixbox:2.4.2.0:*:*:*:*:*:*:*', 'cpe:2.3:a:trixbox:trixbox:2.0:*:*:*:*:*:*:*', 'cpe:2.3:a:trixbox:trixbox:*:*:*:*:*:*:*:*']",NETWORK,6.8,8.6,False,False,False,Null
